Type,Name,Price,Coupon,Maturity,YTM,CurrentYield,Rating,Callable
Muni,Asset 1,121.15,5.07,16-Jun-2024,3.933,4.18489475856376,AA,1
Corp,Asset 2,123.81,5.65,11-May-2040,4.024,4.5634439867539,A,0
Corp,Asset 3,122.63,6.2,19-Feb-2016,3.803,5.05585908831444,AAA,0
Muni,Asset 4,121.06,5.27,30-Mar-2020,3.505,4.35321328266975,A,0
Corp,Asset 5,101.76,1.64,09-Jan-2017,1.554,1.61163522012579,AAA,1
Corp,Asset 6,40.51,10.27,30-Oct-2015,10.193,25.3517649962972,CCC,1
Muni,Asset 7,111.14,4.1,26-Apr-2019,3.234,3.68904084937916,AA,0
Muni,Asset 8,113.49,3.96,17-Sep-2018,2.937,3.4892942109437,AA,1
Muni,Asset 9,136.09,5.92,20-Mar-2020,3.464,4.35006245866706,AA,0
Corp,Asset 10,113.23,5.83,24-Dec-2016,4.479,5.14881215225647,BBB,0
Muni,Asset 11,112.73,4.97,13-Oct-2013,2.861,4.40876430408942,AA,0
Muni,Asset 12,115.44,4.99,12-Sep-2026,3.428,4.32259182259182,AAA,0
Muni,Asset 13,109.75,3.73,18-Aug-2014,2.79,3.39863325740319,AA,0
Muni,Asset 14,108.48,4.98,09-Jan-2023,3.832,4.59070796460177,A,1
Corp,Asset 15,135.65,6.42,08-Aug-2037,3.675,4.73276815333579,A,0
Muni,Asset 16,121.5,6.68,13-May-2017,4.727,5.49794238683128,NA,0
Corp,Asset 17,105.43,6.78,15-Dec-2020,5.773,6.43080717063454,BB,1
Muni,Asset 18,106.75,4.92,17-Nov-2036,4.154,4.60889929742389,AA,1
Muni,Asset 19,102.21,3.98,08-Feb-2027,3.2,3.89394384111144,A,1
Corp,Asset 20,113.44,6.54,29-Sep-2036,4.242,5.76516220028209,BBB,0
Muni,Asset 21,125.17,5.59,22-Nov-2017,4.128,4.46592634017736,AA,0
Muni,Asset 22,126.79,4.92,28-Aug-2019,3.162,3.88043221074217,NA,1
Corp,Asset 23,104.79,3.36,08-Oct-2021,2.802,3.2064128256513,AA,0
Muni,Asset 24,117.72,4.98,01-Jun-2015,4.102,4.23037716615698,AAA,0
Muni,Asset 25,119.41,5.1,29-Nov-2015,4.087,4.27099907880412,AAA,0
Muni,Asset 26,106.55,3.07,16-Jul-2013,1.345,2.88127639605819,AA,0
Muni,Asset 27,109.06,5.35,01-Feb-2027,3.802,4.90555657436274,AA,1
Corp,Asset 28,100.51,7.2,09-Jun-2023,6.875,7.16346632175903,BB,0
Muni,Asset 29,106.07,5.01,29-Dec-2017,4.075,4.72329593664561,NA,1
Corp,Asset 30,91.01,4.71,26-Jan-2020,3.986,5.17525546643226,A,0
Muni,Asset 31,95.71,4.91,30-Aug-2039,3.834,5.13008045136349,BBB,1
Corp,Asset 32,103.47,1.51,05-Sep-2014,1.354,1.45936020102445,A,0
Corp,Asset 33,106.51,4.3,30-Jan-2013,0.109,4.03717960754859,A,0
Muni,Asset 34,106.66,2.96,22-Nov-2012,-2.243,2.77517344834052,AA,0
Muni,Asset 35,104.37,5.41,02-Dec-2028,5.021,5.1834818434416,NA,1
Muni,Asset 36,112.94,3.91,10-Jun-2014,3.332,3.46201522932531,AA,0
Corp,Asset 37,114.04,6.08,26-Feb-2017,3.931,5.33146264468607,AA,0
Corp,Asset 38,107.01,5.52,26-Feb-2018,3.848,5.15839641155032,A,0
Corp,Asset 39,111.79,8.33,23-Aug-2030,4.787,7.45147150907952,BBB,0
